coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
744,41020,2014,,7,7
745,41026,2014,,7,0
746,41078,2014,,7,0
747,41132,2014,,7,15
748,41206,2014,,7,3
749,41244,2014,,7,8
750,41298,2014,,7,71
751,41306,2014,,7,5
752,41319,2014,,7,2
753,41349,2014,,7,6
754,41357,2014,,7,2
755,41359,2014,,7,5
756,41378,2014,,7,15
757,41396,2014,,7,42
758,41483,2014,,7,4
759,41001,2014,,7,250
760,41503,2014,,7,7
761,41518,2014,,7,1
762,41524,2014,,7,11
763,41530,2014,,7,6
764,41548,2014,,7,3
765,41551,2014,,7,261
766,41615,2014,,7,6
767,41660,2014,,7,2
768,41668,2014,,7,10
769,41676,2014,,7,6
770,41770,2014,,7,25
771,41791,2014,,7,8
772,41799,2014,,7,1
773,41801,2014,,7,3
774,41797,2014,,7,5
775,41807,2014,,7,9
776,41872,2014,,7,7
777,41885,2014,,7,0
